RPs.class1...class2	RPs.class1...class2.1	RPrank.class1...class2	RPrank.class1...class2.1	pfp.class1...class2	pfp.class1...class2.1	pval.class1...class2	pval.class1...class2.1	AveFC
hsa.let.7a.4373169	35.2287166697874	66.8121056614332	25	92	1.12522901489316	1.10873932246089	0.232485333655611	0.843008410466132	-0.44813283122807
hsa.let.7c.4373167	46.8700792380026	55.6516370615522	63	67	0.926083656696879	1.20053894957392	0.482175788197548	0.66476123654093	0.00830626877193108
hsa.let.7d.4395394	56.1213665897553	57.4739474917145	85	71	0.959014966842299	1.1908604706699	0.673688199847896	0.698769367087296	0.11204156877193
hsa.let.7e.4395517	55.0032952491413	60.0985135384074	81	78	0.974370930993455	1.15509135737272	0.652264838103057	0.744604346074979	0.0400519021052643
hsa.let.7f.4373164	47.0764202431293	44.4036990878072	65	50	0.906012584559215	1.03523375896117	0.486700975176438	0.427782545025278	0.307971257634196
hsa.let.7g.4395393	50.6877532345653	65.4675420878088	71	90	0.962136400315681	1.1099226159017	0.564559375391846	0.825562276290523	-0.141038364561402
hsa.miR.9.4373285	10.536127469722	56.6034590519905	1	70	0.126021897856574	1.18015755445825	0.00104150328807086	0.682735775306423	-1.8888603645614
hsa.miR.10a.4373153	62.8914554100751	28.2998209406868	100	17	0.954623829263224	0.808947655961007	0.788945313440681	0.113653802903613	0.941296102105263
hsa.miR.10b.4395329	65.7105950009909	22.1423988128832	102	12	0.983185275810632	0.443542314376782	0.828800811013921	0.0439876675414991	1.37043604635244
MammU6.4395470	34.9085465989085	70.7696006670046	24	108	1.14064856656784	0.994619381519313	0.226244343782051	0.887759447967651	-0.51441323122807
MammU6.4395470.1	35.291306528833	69.0508562562824	27	101	1.0473770474074	1.04170574588188	0.233712233719008	0.869522977967516	-0.51441323122807
hsa.miR.15a.4373123	42.9557679606758	41.1078034646755	50	42	0.957823451458406	1.02342579765472	0.395794814652234	0.355238706623951	0.437773976591533
hsa.miR.15b.4373122	55.1994921062869	39.6877334577216	83	35	0.956435636268589	1.12183054313454	0.656067419919776	0.324496438096766	0.505775935438597
hsa.miR.16.4373121	46.8093566468396	68.4414125389229	62	98	0.93841945275974	1.06506788535081	0.480843025381024	0.862616964994875	-0.230271264561404
hsa.miR.17.4395419	74.6669180090301	37.586465138777	113	30	0.987882473803613	1.12972009654058	0.92256793008106	0.280095891704277	0.775343502105263
hsa.miR.18a.4395533	75.4064931066633	28.9044399642879	114	20	0.985191937103621	0.740915478994738	0.928197362229858	0.122465368428882	1.0351033354386
hsa.miR.18b.4395328	84.777879778874	17.2768167295538	115	7	1.0276184312077	0.25093199374832	0.976662145362688	0.0145167269110598	2.18943941617554
hsa.miR.19a.4373099	64.5324435433049	44.9034765223427	101	51	0.973695248372392	1.04114907406384	0.812753885005055	0.438831427911205	0.480579502105264
hsa.miR.19b.4373098	67.8331532853782	42.4334749945257	104	44	0.995332421129292	1.05679333618965	0.855492328904515	0.384288485887146	0.572982635438597
hsa.miR.20a.4373286	69.5504329403339	34.8493912454534	107	26	0.989498941483387	1.04757037723744	0.875011460650599	0.225097767009698	0.78123896877193
hsa.miR.20b.4373263	58.693517173634	44.2445061439214	94	49	0.927515425142335	1.04766925755135	0.72054917325107	0.424262757190218	0.614445202105264
hsa.miR.21.4373090	58.3757240329522	40.5391078238433	91	37	0.950651330826961	1.12128152686414	0.714952653762425	0.342871210693993	0.567005868771932
hsa.miR.22.4373079	24.3608555659537	75.0909067867862	7	115	1.11982567689629	0.974136024182765	0.0647833036220993	0.92583175852081	-1.08916753122807
hsa.miR.23a.4373074	55.1847427037704	56.1075911595715	82	68	0.967678585973674	1.19830562655311	0.655782182230093	0.673427955418276	0.0811706354385975
hsa.miR.23b.4373073	35.2492761980368	43.000024716232	26	46	1.08382539749689	1.0436800570152	0.232888101941481	0.396770930766108	0.137116705448388
hsa.miR.24.4373072	44.4478720044645	69.1218871331497	55	102	0.94327028191146	1.03242988771413	0.428759219050664	0.870312797907782	-0.256882597894736
hsa.miR.25.4373071	62.0643646493867	45.5648291729117	98	54	0.958504342621373	1.01604188157759	0.776309302288384	0.453440178555289	0.425048902105264
hsa.miR.26a.4395166	46.5553393478423	68.7075708531158	60	99	0.958446614028142	1.05803075548507	0.475262783815607	0.865661527215058	-0.258735864561402
hsa.miR.26b.4395167	40.4101733209449	75.0066541288493	43	114	0.956960881537346	0.982001016694782	0.340077007488478	0.925191040522356	-0.434572064561403
hsa.miR.27a.4373287	42.7511323033725	70.193670434168	49	106	0.966230786911811	1.00664117623788	0.391283541807262	0.881850947778637	-0.31787353122807
hsa.miR.27b.4373068	46.4106700456541	67.0737830815825	59	93	0.968166792531627	1.10106177082014	0.472081328589802	0.846270617241925	-0.25140753122807
hsa.miR.28.3p.4395557	40.6322352834779	60.535210550394	44	79	0.948452355718037	1.15156360788875	0.34489176571565	0.751847314241415	-0.176673097894737
hsa.miR.28.5p.4373067	41.3162688386693	69.9739445489307	47	104	0.926263442481905	1.02331476972329	0.359788279311153	0.879543273150594	-0.309909764561403
MammU6.4395470.2	34.2413989197904	70.8211622262731	20	109	1.29128456647729	0.986070702225151	0.213435465533437	0.888278566467284	-0.51441323122807
MammU6.4395470.3	35.7320903744624	70.1035015896213	29	105	1.01145197294661	1.0151410642516	0.242414109218608	0.88090753509436	-0.51441323122807
hsa.miR.29a.4395223	46.9495080801353	55.5296052753449	64	66	0.91490821426252	1.21444484960372	0.483918394320672	0.662424463420211	-0.0153592312280697
hsa.miR.29b.4373288	36.2255124931867	61.9400432414879	30	84	1.01752170722232	1.11546664349633	0.252278109228674	0.774373537633814	-0.304025264561403
hsa.miR.29c.4395171	21.4070139513841	87.448327519995	4	120	1.15420154444355	0.992385730901883	0.0381554229568115	0.984184195935752	-1.12739733122807
hsa.miR.30b.4373290	27.6604748752578	73.4795474546169	12	113	1.05576699802616	0.977524390483328	0.104704165093504	0.912894678715835	-0.779788564561403
hsa.miR.30c.4373060	26.4828802385374	71.8840757001403	8	112	1.34969521954483	0.970833509228798	0.0892360475732122	0.898622752344011	-0.928280897894736
hsa.miR.31.4395390	31.0387332562355	33.731422852518	17	25	1.11142028637526	0.986545981005909	0.156149957589912	0.203831814257419	0.0525106354385969
